event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition
20190905X63951,Accident,2019-09-05,"Glendo, WY",United States,Non-Fatal,Substantial,Airplane,pietenpol,PIETENPOL AIRCAMPER,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190906X30739,Accident,2019-09-05,"TAHLEQUAH, OK",United States,Non-Fatal,Substantial,Airplane,cessna,310,No,2.0,Reciprocating,0.0,2.0,0.0,0.0,VMC
20190911X61152,Accident,2019-09-05,"Palmer, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA18,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190917X94314,Accident,2019-09-05,"Chugiak, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA18,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190925X15631,Accident,2019-09-05,"Racine, Canada",Canada,Fatal,Destroyed,Airplane,cessna,172,No,0.0,unknown,1.0,0.0,0.0,0.0,unknown
20191118X85751,Accident,2019-09-05,"Mazatan, Chiapas, Mexico",Mexico,Non-Fatal,unknown,Airplane,piper,PA25,No,0.0,unknown,0.0,0.0,0.0,1.0,unknown
20190906X41941,Accident,2019-09-06,"Pocahontas, IA",United States,Non-Fatal,Substantial,Airplane,cessna,195A,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190906X42945,Accident,2019-09-06,"Midlothian, TX",United States,Non-Fatal,Substantial,Airplane,piper,PA-28D-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190906X45558,Accident,2019-09-06,"Hood River, OR",United States,Fatal,Substantial,Airplane,piper,PA18,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,unknown
20190906X72538,Accident,2019-09-06,"Lady Lake, FL",United States,Fatal,Destroyed,Airplane,vans,RV-12,Yes,0.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190916X91526,Accident,2019-09-06,"Fort Myers, FL",United States,Non-Fatal,unknown,Airplane,airbus,A319,No,2.0,Turbo Fan,0.0,0.0,1.0,107.0,VMC
20190909X84531,Accident,2019-09-06,"Nuiqsut, AK",United States,Non-Fatal,Substantial,Helicopter,robinson,R44,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190907X64846,Accident,2019-09-07,"Kingsbury, TX",United States,Non-Fatal,Substantial,Airplane,pietenpol,Sky Scout,Yes,1.0,Reciprocating,0.0,0.0,1.0,0.0,VMC
20190907X85739,Accident,2019-09-07,"Carpenter, WY",United States,Fatal,Destroyed,Airplane,champion,7GCBC,No,1.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190909X03241,Accident,2019-09-07,"Lakeport, CA",United States,Non-Fatal,Substantial,Airplane,siai-marchetti,SM 1019,No,1.0,Turbo Prop,0.0,2.0,0.0,0.0,VMC
20190909X25819,Accident,2019-09-07,"Winnsboro, LA",United States,Non-Fatal,Substantial,Airplane,champion,7KCAB,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190918X43537,Incident,2019-09-08,"Jeddah, Saudi Arabia",Saudi Arabia,unknown,Minor,Airplane,boeing,767,No,0.0,unknown,0.0,0.0,0.0,0.0,unknown
20190908X00550,Accident,2019-09-08,"Las Vegas, NV",United States,Fatal,Destroyed,Airplane,beech,C24,No,1.0,Reciprocating,2.0,0.0,2.0,0.0,VMC
20190908X05518,Accident,2019-09-08,"Marathon, FL",United States,Fatal,Substantial,Airplane,cessna,210,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20190908X51027,Accident,2019-09-08,"TURKEY, TX",United States,Non-Fatal,Substantial,Airplane,air_tractor,AT 602,No,1.0,Turbo Prop,0.0,1.0,0.0,1.0,VMC
20190908X55520,Accident,2019-09-08,"Berlin, MD",United States,Non-Fatal,Substantial,Airplane,grumman,G164,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190909X13121,Accident,2019-09-08,"Lakeview, SD",United States,Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20190909X21154,Accident,2019-09-08,"Mekoryuk, AK",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190911X92611,Accident,2019-09-08,"La Grande, OR",United States,Fatal,Destroyed,Airplane,piper,PA32,No,1.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190909X25123,Accident,2019-09-09,"WHITEHALL, MI",United States,Fatal,Destroyed,Airplane,cessna,150,No,1.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190909X51212,Accident,2019-09-09,"WALKERTON, IN",United States,Non-Fatal,Substantial,Helicopter,bell,206,No,0.0,unknown,0.0,0.0,0.0,1.0,unknown
20190913X30543,Accident,2019-09-09,"Keystone Heights, FL",United States,Non-Fatal,Substantial,Airplane,beech,23,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190918X10113,Accident,2019-09-09,"Gransee, Germany",Germany,Fatal,Destroyed,Airplane,cessna,208,No,0.0,unknown,1.0,0.0,0.0,0.0,unknown
20190918X22632,Accident,2019-09-09,"Reno, NV",United States,Non-Fatal,Substantial,Airplane,stoddard_hamilton,GLASAIR II,Yes,0.0,Reciprocating,0.0,1.0,0.0,0.0,VMC
20190910X44456,Accident,2019-09-10,"Panama City, FL",United States,Non-Fatal,Substantial,Airplane,beech,23,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190910X53248,Accident,2019-09-10,"Maricopa, AZ",United States,Non-Fatal,Substantial,Airplane,ercoupe,415,No,1.0,Reciprocating,0.0,0.0,2.0,0.0,VMC
20190910X65550,Accident,2019-09-10,"Grassy Butte, ND",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,0.0,0.0,1.0,0.0,VMC
20190911X10827,Accident,2019-09-11,"Hollywood, FL",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190911X11037,Accident,2019-09-11,"Boca Raton, FL",United States,Non-Fatal,Destroyed,Airplane,piper,PA28,No,0.0,unknown,0.0,1.0,1.0,0.0,VMC
20190911X54810,Accident,2019-09-11,"Monclova, OH",United States,Fatal,Destroyed,Airplane,convair,440,No,2.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20190911X60317,Accident,2019-09-11,"Colorado Springs, CO",United States,Non-Fatal,Substantial,Airplane,piper,PA28,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190911X73205,Accident,2019-09-11,"Azusa, CA",United States,Non-Fatal,Substantial,Helicopter,sikorsky,S58,No,1.0,Turbo Shaft,0.0,0.0,0.0,1.0,VMC
20190911X83636,Accident,2019-09-11,"St. Augustine, FL",United States,Non-Fatal,Substantial,Airplane,beech,35,No,0.0,unknown,0.0,2.0,0.0,0.0,VMC
20190912X11052,Accident,2019-09-11,"Kingman, KS",United States,Non-Fatal,Substantial,Airplane,piper,PA34,No,2.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
